ticker,pnl
TSLA,-305
TSLA,-671
TSLA,-124
TSLA,-529
TSLA,511
TSLA,300
TSLA,-126
AAL,-33
TSLA,-33
TSLA,18
TSLA,64
TSLA,-342
TSLA,196
GNS,31
TSLA,-1044
TSLA,-12
SHOP,449
TSLA,280
TSLA,-303
LCID,-633
CVNA,-998
PTON,-167
TSLA,-167
TSLA,-127
TSLA,272
JWN,272
TSLA,75
AI,117
GOOGL,124
AFRM,58
LYFT,-227
TSLA,-386
TSLA,134
RBLX,201
SHOP,459
DKNG,104
WMT,64
TSLA,64
INTC,64
LCID,369
CVNA,-1174
FSR,82
TSLA,-36
TSLA,203
TSLA,333
TSLA,156
AI,156
TSLA,242
SE,112
TSLA,112
WW,-1978
JD,316
TSLA,316
TSLA,446
BAC,213
TSLA,213
MARA,121
BAC,-267
FRC,1661
FRC,-788
TSLA,-366
BAC,-145
PTPI,301
SPRT,166
BLU,63
AMC,91
BFRI,69
BEKE,186
ADGI,-51
LCID 9/14,46
PTON 8/27,93
BRG,-221
AMC,-221
SOPA,-1446
SAVA,-1446
BFRI,-1446
PTPI,-1457
SOPA,-1457
BFRI,82
LCID,-88
BNGO,-244
TIGR,-219
BFRI,118
LCID,118
RELI,124
ISIG,-352
RELI,-450
RELI,-450
ISIG,-311
NTRB,-311
CRM,201
LCID,-262
NTRB,36
NIO,36
IMMX,-51
IMMX,-245
LGVN,-245
MYNZ,-245
BBBY,-520
BBBY,-520
ABSI,-21
UTME,72
VTNR,126
TLRY,164
TSRI,500
LCID,127
OCGN,127
BTCS,373
REVB,-1261
LVS,-1261
LCID,-515
WISH,167
SOFI,249
SOFI,-220
PTON,369
CLOV,56
LIZI,-398
PTON,-289
KSS,-289
KSS,-289
SRRA,730
BBIG,193
MSFT,193
DKNG,193
AMD,72
SRRA,72
HOOD,109
LC,72
SOFI,109
MDXG,-179
BBIG,-469
SOFI,-168
AMC,-776
ASTR,-776
SOFI,4
SNAP,44
SOFI,44
NIO,44
PINS,98
SNAP,-499
VINE,-856
PTON,-499
PTON,-285
DCFC,-22
DCFC,-62
UBER,-62
CLF,-162
AFRM,-162
SOFI,109
LCID,75
LCID,-227
CNR,-227
SPCE,-250
VIAC,-84
FSLY,118
SPCE,-84
LCID,107
SOPA,289
CFVI,168
M,-154
VRT,483
YNDX,105
FL,-392
UPST,-135
WEJO,72
AUPH,-917
SE,-164
MARA,-164
JWN,130
CAN,-799
NIO,122
TTD,-664
BON,-160
BBBY,-776
HUSA,267
BMBL,74
SFIX,74
BEKE,94
ASTS,22
AFRM,-374
TSEM,59
KSCP,303
JD,303
COUP,83
BEKE,-412
BEKE,-509
BEKE,148
PIK,148
OXY,-167
QNGY,-2471
BA,-30
UPST,-457
GME,-904
ALLG,-41
BBBY,-742
TLRY,-742
PDD,-742
TJX,8
ASTR,30
TLRY,45
AMC,427
AMC,-549
AMC,-43
ISPO,-43
PDD,52
LGVN,52
NKE,43
ASAN,-36
TWTR,16
TWTR,109
TLRY,236
HPQ,-337
SBFM,46
CGC,-369
CGC,46
BILI,-13
LCID,72
VERU,90
AMC,27
VIPS,85
LAZR,-124
CASA,322
ATER,322
NFLX,-1196
RIO,18
CLF,252
GPS,252
DOCU,69
BMBL,-244
NKTX,40
NKTX,117
ATER,117
NUTX,193
BTU,-830
PDD,23
STNE,90
LILM,59
TQQQ,548
RDBX,548
CHGG,360
LYFT,-430
UBER,-430
ICPT,-885
OPEN,-588
DKNG,-588
PATH,218
ALLG,192
RIVN,439
PTON,277
COIN,-277
CGEM,179
TWTR,86
VZ,117
HAYW,67
SAVE,138
SE,117
TGT,10
SIGA,428
ROST,136
QCOM,79
LCID,-259
SIGA,776
SNAP,-387
DKS,-972
RDBX,-178
GPS,-448
DOCS,-100
CPNG ,414
W,707
AMC,513
AMC,259
CHWY,729
AMLX,-6308
STNE,-6308
CYN,329
SIGA,1475
ARRY,473
JAN,-579
TGT,-579
RDBX,-1692
JAN,-1034
AUVI,-1034
DOCU,147
AFRM,-848
PIK,-3438
DAWN,597
LI,156
RBLX,-94
CCL,181
NIO,-189
AMD,10
CGEM,511
NUTX,510
NIO,30
TSLA,-243
PEV,767
NIO,-12
DOCS,-498
NVAX,187
NIO,87
NIO,-457
NIO,100
CCL,-262
TQQQ,-45
TQQQ,79
ARRY,-467
EDU,159
NIO,188
TQQQ,124
NIO,109
SRG,104
LI,178
SIDU,-100
PLRX,126
AMD,62
RBLX,-55
EVGO,-419
C,-553
GOEV,-156
LYT,-1221
NIO,106
MARA,-603
MARA,208
T,-724
SNAP,449
LCID,127
ARRY,-3020
MARA,102
NIO,189
PYPL,248
RUN,-1505
CHPT,-1505
TBLT,-479
NIO,-172
AMD,140
AMC,-705
NIO,-30
VERU,143
BBBY,227
NVAX,-705
RBLX,-30
PLUG,186
BBBY,309
BBBY,-2835
BBBY,471
FL,417
RDBX,736
PDD,243
AMC,-921
NRXP,-3356
NIO,-74
BBBY,1999
AFRM,16
PTON,-1549
AMC,39
BABA,498
BBBY,-230
SNAP,272
BBBY,66
